INFO:simplemc:Using 6 processors of 8 .
Initalizing nu density look up table... Done
Loading  /Users/atalianb/Documents/Doctorado/SimpleMC_barotropic/simplemc/data/Blok_McGaugh_&_Rubin_(2001)/ESO3020120.dat
Free parameters and values currently accepted:
Anfw = -7.465973893943865 +/- 0.01
rs = 1.74 +/- 0.01
INFO:simplemc:
	nlivepoints: 100
	accuracy: 0.01
	nested type: multi

it: 0 | ncall: 101 | eff: 0.990 | logz: -18.6681 | dlogz: inf | loglstar: -13.3598 | point -6.0208339  4.7900193
it: 1 | ncall: 102 | eff: 1.961 | logz: -17.5198 | dlogz: 18.1637 | loglstar: -13.1990 | point -6.07948976  4.9982595 
it: 2 | ncall: 103 | eff: 2.913 | logz: -15.5028 | dlogz: 17.0054 | loglstar: -10.3751 | point -6.32785404  4.65495293
it: 3 | ncall: 104 | eff: 3.846 | logz: -13.4036 | dlogz: 14.9785 | loglstar: -8.3164 | point -6.31043244  2.77569731
it: 4 | ncall: 105 | eff: 4.762 | logz: -12.2423 | dlogz: 12.8693 | loglstar: -7.7023 | point -6.11759946  1.92802832
it: 5 | ncall: 106 | eff: 5.660 | logz: -11.3731 | dlogz: 11.6981 | loglstar: -6.9422 | point -6.49620113  2.80824428
it: 6 | ncall: 107 | eff: 6.542 | logz: -10.7812 | dlogz: 10.8189 | loglstar: -6.8830 | point -6.60346757  4.39714326
it: 7 | ncall: 108 | eff: 7.407 | logz: -10.3715 | dlogz: 10.2171 | loglstar: -6.6812 | point -6.49719671  2.56575721
it: 8 | ncall: 109 | eff: 8.257 | logz: -10.0221 | dlogz: 9.7975 | loglstar: -6.4315 | point -6.63936499  4.34792898
it: 9 | ncall: 110 | eff: 9.091 | logz: -9.6840 | dlogz: 9.4382 | loglstar: -6.0591 | point -6.10880694  1.28052915
it: 10 | ncall: 111 | eff: 9.910 | logz: -9.3875 | dlogz: 9.0902 | loglstar: -6.0077 | point -6.40747062  1.69018036
it: 11 | ncall: 112 | eff: 10.714 | logz: -9.1467 | dlogz: 8.7837 | loglstar: -5.9222 | point -6.69385074  4.86374358
it: 12 | ncall: 113 | eff: 11.504 | logz: -8.8866 | dlogz: 8.5330 | loglstar: -5.3974 | point -6.50886815  1.62785507
it: 13 | ncall: 114 | eff: 12.281 | logz: -8.5794 | dlogz: 8.2630 | loglstar: -4.9762 | point -6.7636282   3.97850991
it: 14 | ncall: 116 | eff: 12.931 | logz: -8.2846 | dlogz: 7.9459 | loglstar: -4.8205 | point -6.73154083  2.61374706
it: 15 | ncall: 117 | eff: 13.675 | logz: -8.0037 | dlogz: 7.6413 | loglstar: -4.4983 | point -6.6330247   1.45154656
it: 16 | ncall: 118 | eff: 14.407 | logz: -7.7518 | dlogz: 7.3507 | loglstar: -4.4608 | point -6.82909992  4.7599565 
it: 17 | ncall: 119 | eff: 15.126 | logz: -7.5341 | dlogz: 7.0890 | loglstar: -4.3075 | point -6.8462749   4.74150859
it: 18 | ncall: 120 | eff: 15.833 | logz: -7.3414 | dlogz: 6.8615 | loglstar: -4.2709 | point -6.83351181  3.58469346
it: 19 | ncall: 121 | eff: 16.529 | logz: -7.1455 | dlogz: 6.6592 | loglstar: -3.8985 | point -6.89297975  4.30796936
it: 20 | ncall: 122 | eff: 17.213 | logz: -6.9416 | dlogz: 6.4535 | loglstar: -3.7437 | point -6.73522773  1.2535597 
it: 21 | ncall: 123 | eff: 17.886 | logz: -6.7466 | dlogz: 6.2401 | loglstar: -3.5700 | point -6.9150211   2.94301824
it: 22 | ncall: 125 | eff: 18.400 | logz: -6.5289 | dlogz: 6.0476 | loglstar: -3.1303 | point -7.02477555  4.30020902
it: 23 | ncall: 126 | eff: 19.048 | logz: -6.3035 | dlogz: 5.8205 | loglstar: -2.9941 | point -6.90239224  1.26275828
it: 24 | ncall: 127 | eff: 19.685 | logz: -6.1098 | dlogz: 5.5860 | loglstar: -2.9919 | point -7.05870508  4.41787942
it: 25 | ncall: 128 | eff: 20.312 | logz: -5.9485 | dlogz: 5.3832 | loglstar: -2.9844 | point -7.0446048  3.6049486
it: 26 | ncall: 129 | eff: 20.930 | logz: -5.8013 | dlogz: 5.2128 | loglstar: -2.8529 | point -7.00990763  1.95081177
it: 27 | ncall: 130 | eff: 21.538 | logz: -5.6643 | dlogz: 5.0566 | loglstar: -2.8199 | point -6.58637632  0.54544527
it: 28 | ncall: 131 | eff: 22.137 | logz: -5.5242 | dlogz: 4.9107 | loglstar: -2.5307 | point -6.76827295  0.58114573
it: 29 | ncall: 132 | eff: 22.727 | logz: -5.3734 | dlogz: 4.7618 | loglstar: -2.3498 | point -6.88504352  0.63444129
it: 30 | ncall: 133 | eff: 23.308 | logz: -5.2325 | dlogz: 4.6026 | loglstar: -2.3457 | point -7.21836084  3.15592507
it: 31 | ncall: 135 | eff: 23.704 | logz: -5.1070 | dlogz: 4.4533 | loglstar: -2.2969 | point -7.19167371  2.15402729
it: 32 | ncall: 138 | eff: 23.913 | logz: -4.9796 | dlogz: 4.3195 | loglstar: -2.0574 | point -7.29489912  2.35979481
it: 33 | ncall: 139 | eff: 24.460 | logz: -4.8510 | dlogz: 4.1842 | loglstar: -1.9879 | point -7.34424908  3.00574694
it: 34 | ncall: 140 | eff: 25.000 | logz: -4.7341 | dlogz: 4.0479 | loglstar: -1.9816 | point -7.37292778  4.78243165
it: 35 | ncall: 141 | eff: 25.532 | logz: -4.6232 | dlogz: 3.9234 | loglstar: -1.8497 | point -6.1180619   0.23602895
it: 36 | ncall: 143 | eff: 25.874 | logz: -4.5152 | dlogz: 3.8050 | loglstar: -1.7934 | point -7.3652728   1.64421798
it: 37 | ncall: 144 | eff: 26.389 | logz: -4.4150 | dlogz: 3.6899 | loglstar: -1.7718 | point -7.45144558  4.35953595
it: 38 | ncall: 146 | eff: 26.712 | logz: -4.3197 | dlogz: 3.5827 | loglstar: -1.6793 | point -7.47785699  3.22746952
it: 39 | ncall: 148 | eff: 27.027 | logz: -4.2293 | dlogz: 3.4805 | loglstar: -1.6696 | point -7.49534893  4.38719531
it: 40 | ncall: 149 | eff: 27.517 | logz: -4.1458 | dlogz: 3.3834 | loglstar: -1.6450 | point -7.50380473  4.09091805
it: 41 | ncall: 150 | eff: 28.000 | logz: -4.0666 | dlogz: 3.2933 | loglstar: -1.5917 | point -7.46777519  1.67067798
it: 42 | ncall: 153 | eff: 28.105 | logz: -3.9913 | dlogz: 3.2075 | loglstar: -1.5716 | point -7.33731327  0.77795772
